,Total consumption : Texas : electric power (total) : quarterly (short tons)
2001 Q1 ,22164839
2001 Q2 ,22952510
2001 Q3 ,25962808
2001 Q4 ,21357650
2002 Q1 ,21917084
2002 Q2 ,23929655
2002 Q3 ,26277274
2002 Q4 ,23548673
2003 Q1 ,23284033
2003 Q2 ,24767874
2003 Q3 ,27057329
2003 Q4 ,25160043
2004 Q1 ,24044970
2004 Q2 ,24905530
2004 Q3 ,27870385
2004 Q4 ,24942114
2005 Q1 ,24662301
2005 Q2 ,24217361
2005 Q3 ,27180373
2005 Q4 ,25172936
2006 Q1 ,23047335
2006 Q2 ,23762839
2006 Q3 ,27741681
2006 Q4 ,25109107
2007 Q1 ,23924576
2007 Q2 ,25164098
2007 Q3 ,27813513
2007 Q4 ,26013601
2008 Q1 ,24208006
2008 Q2 ,25369863
2008 Q3 ,27988173
2008 Q4 ,24273885
2009 Q1 ,21688754
2009 Q2 ,23573413
2009 Q3 ,26079902
2009 Q4 ,24064581
2010 Q1 ,22783508
2010 Q2 ,24493489
2010 Q3 ,28410950
2010 Q4 ,24593185
2011 Q1 ,25338211
2011 Q2 ,28270923
2011 Q3 ,31873140
2011 Q4 ,24616151
2012 Q1 ,21021628
2012 Q2 ,22302162
2012 Q3 ,28949206
2012 Q4 ,25032169
2013 Q1 ,22465257
2013 Q2 ,24901926
2013 Q3 ,30366799
2013 Q4 ,24752713
2014 Q1 ,24914333
2014 Q2 ,24410190
2014 Q3 ,30060366
2014 Q4 ,22272614
2015 Q1 ,19639959
2015 Q2 ,20880065
2015 Q3 ,27792799
2015 Q4 ,18466374
2016 Q1 ,14616943
2016 Q2 ,20077346
2016 Q3 ,27738163
2016 Q4 ,23698040
2017 Q1 ,19887551
2017 Q2 ,23138725
2017 Q3 ,27312980
2017 Q4 ,23148298
2018 Q1 ,16466977
2018 Q2 ,17975559
2018 Q3 ,22259525
2018 Q4 ,19196961
2019 Q1 ,16002251
2019 Q2 ,15464589
2019 Q3 ,17977253
2019 Q4 ,13866538
2020 Q1 ,11029285
2020 Q2 ,12950538
2020 Q3 ,17219614
2020 Q4 ,14869537
