,"Imports of all grades of crude oil from World to Total U.S. (US), Monthly (thousand barrels)"
2009 01 ,317275
2009 02 ,262339
2009 03 ,303897
2009 04 ,285934
2009 05 ,281147
2009 06 ,284093
2009 07 ,287569
2009 08 ,279111
2009 09 ,289561
2009 10 ,272678
2009 11 ,273248
2009 12 ,265615
2010 01 ,274568
2010 02 ,253150
2010 03 ,299033
2010 04 ,302836
2010 05 ,310396
2010 06 ,310153
2010 07 ,318991
2010 08 ,309053
2010 09 ,284192
2010 10 ,272415
2010 11 ,271185
2010 12 ,279096
2011 01 ,296158
2011 02 ,235122
2011 03 ,292010
2011 04 ,265822
2011 05 ,289106
2011 06 ,285572
2011 07 ,295338
2011 08 ,287633
2011 09 ,273698
2011 10 ,284594
2011 11 ,268189
2011 12 ,279359
2012 01 ,257536
2012 02 ,242560
2012 03 ,271697
2012 04 ,258417
2012 05 ,272766
2012 06 ,270684
2012 07 ,266782
2012 08 ,263945
2012 09 ,250160
2012 10 ,250303
2012 11 ,244987
2012 12 ,235120
2013 01 ,245715
2013 02 ,203162
2013 03 ,231414
2013 04 ,231621
2013 05 ,238809
2013 06 ,231912
2013 07 ,245724
2013 08 ,251079
2013 09 ,237699
2013 10 ,230822
2013 11 ,222248
2013 12 ,240519
2014 01 ,234969
2014 02 ,201572
2014 03 ,225487
2014 04 ,226639
2014 05 ,222177
2014 06 ,212025
2014 07 ,236534
2014 08 ,231649
2014 09 ,224851
2014 10 ,221600
2014 11 ,218845
2014 12 ,223978
2015 01 ,222315
2015 02 ,198807
2015 03 ,235360
2015 04 ,216229
2015 05 ,224604
2015 06 ,219618
2015 07 ,228160
2015 08 ,239212
2015 09 ,216838
2015 10 ,220171
2015 11 ,221130
2015 12 ,244965
2016 01 ,236065
2016 02 ,229492
2016 03 ,248383
2016 04 ,228344
2016 05 ,245749
2016 06 ,226802
2016 07 ,250986
2016 08 ,248482
2016 09 ,241213
2016 10 ,234666
2016 11 ,240691
2016 12 ,242213
2017 01 ,262811
2017 02 ,220558
2017 03 ,253114
2017 04 ,246132
2017 05 ,264554
2017 06 ,242677
2017 07 ,245369
2017 08 ,245611
2017 09 ,219708
2017 10 ,238109
2017 11 ,230230
2017 12 ,241245
2018 01 ,248552
2018 02 ,209942
2018 03 ,236216
2018 04 ,247608
2018 05 ,242857
2018 06 ,254283
2018 07 ,246671
2018 08 ,247656
2018 09 ,227795
2018 10 ,227975
2018 11 ,226251
2018 12 ,219240
2019 01 ,234307
2019 02 ,178257
2019 03 ,210276
2019 04 ,209958
2019 05 ,221259
2019 06 ,214563
2019 07 ,215083
2019 08 ,215273
2019 09 ,194485
2019 10 ,193493
2019 11 ,174531
2019 12 ,211837
2020 01 ,198663
2020 02 ,189060
2020 03 ,195181
2020 04 ,165586
2020 05 ,188693
2020 06 ,191919
2020 07 ,183087
2020 08 ,168406
2020 09 ,161926
2020 10 ,164494
2020 11 ,168655
2020 12 ,178597
2021 01 ,181197
