,"Renewable energy production, Texas (Billion Btu)"
1960  ,50155
1961  ,52023
1962  ,47721
1963  ,42718
1964  ,43884
1965  ,48967
1966  ,51980
1967  ,49944
1968  ,62939
1969  ,64351
1970  ,62757
1971  ,60471
1972  ,67560
1973  ,78102
1974  ,76691
1975  ,75872
1976  ,75965
1977  ,82566
1978  ,84175
1979  ,89721
1980  ,65819
1981  ,70520
1982  ,80452
1983  ,75817
1984  ,87064
1985  ,93532
1986  ,110360
1987  ,116905
1988  ,108936
1989  ,125459
1990  ,115294
1991  ,120330
1992  ,133852
1993  ,117228
1994  ,114097
1995  ,117889
1996  ,110535
1997  ,122666
1998  ,110071
1999  ,93994
2000  ,96071
2001  ,96535
2002  ,121028
2003  ,115457
2004  ,120813
2005  ,138301
2006  ,154259
2007  ,197392
2008  ,306975
2009  ,304805
2010  ,397186
2011  ,456427
2012  ,469283
2013  ,500601
2014  ,547503
2015  ,586962
2016  ,714190
2017  ,811457
2018  ,903003
