,"Wind electricity net generation, World, Annual (billion kilowatthours)"
1987  ,0.029667962
1988  ,0.050490252
1989  ,0.072761883
1990  ,0.14918872
1991  ,0.205541414
1992  ,0.342871014
1993  ,2.597943
1994  ,3.5356
1995  ,4.096951
1996  ,4.611373
1997  ,5.55795
1998  ,7.284414
1999  ,7.935523
2000  ,9.288649
2001  ,12.134585
2002  ,16.108642
2003  ,21.24186
2004  ,31.364314
2005  ,38.367365
2006  ,52.766363
2007  ,64.306051483
2008  ,84.136272203
2009  ,104.020903533
2010  ,131.829787473
2011  ,170.565478913
2012  ,220.29993908
2013  ,276.05409674
2014  ,339.52415612
2015  ,434.40607867
2016  ,521.27202289
2017  ,643.65206546
2018  ,714.05780186
2019  ,827.66407778
2020  ,956.16038216
2021  ,1124.74524524
2022  ,1265.46627373
2023  ,1420.45057253
